STATE,POPULATION
LAGOS,14706024
OGUN,4185700
OYO,7840800
ONDO,4671700
EKITI,3270900
OSUN,4705800
 KWARA,3192800
BENUE,5741600
PLATEAU,4200400
NASARAWA,2523200
FCT,3564000
KOGI,4473600
NIGER,5556200
EDO,4235800
DELTA,5663300
BAYELSA,2277900
CROSS-RIVER,3824200
RIVERS,7303900
AKWA-IBOM,5482100
KANO,13076900
KADUNA,8252200
KASTINA,7831200
SOKOTO,4998000
ZAMFARA,4515300
JIGAWA,5828200
KEBBI,4439900
ADAMAWA,4248200
BORNO,5860300
GOMBE,3257100
TARABA,3066800
YOBE,3294200
BAUCHI,0
ABIA,3727300
ANAMBRA,5527900
EBONYI,2880400
ENUGU,4411100
IMO,5408500
